City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Campbellsville,US,37.3434,-85.3419,91.51,59,52,6.24,broken clouds
312,Bilma,NE,18.6853,12.9164,92.84,17,16,7.83,few clouds
313,Murshidabad,IN,24.1833,88.2667,81.19,87,42,6.22,scattered clouds
314,Alot,IN,23.7667,75.55,77.54,85,100,13.42,overcast clouds
315,Mookane,BW,-23.688,26.6595,56.19,61,26,7.38,scattered clouds
316,Kronshagen,DE,54.3433,10.0994,59.09,88,75,5.75,broken clouds
317,Marawi,PH,7.9986,124.2928,68.95,94,98,2.33,overcast clouds
318,Bubaque,GW,11.2833,-15.8333,81.48,79,100,8.12,moderate rain
319,Beckley,US,37.7782,-81.1882,84.61,51,20,4.61,few clouds
320,Porto Novo,BJ,6.4965,2.6036,80.42,83,85,5.93,overcast clouds
321,Rognan,NO,67.0953,15.3878,75.06,70,48,5.17,scattered clouds
322,Nisia Floresta,BR,-6.0911,-35.2086,82.78,91,9,7.2,clear sky
323,Bonthe,SL,7.5264,-12.505,76.57,86,100,4.34,overcast clouds
324,Hambantota,LK,6.1241,81.1185,79.14,89,20,3.44,few clouds
325,Calbuco,CL,-41.768,-73.1273,45.61,73,54,8.08,light rain
326,San Andres,CO,12.5847,-81.7006,80.62,89,75,17.27,light intensity drizzle
327,Buenos Aires,AR,-34.6132,-58.3772,52.0,94,100,5.75,overcast clouds
328,Boende,CD,-0.2167,20.8667,72.61,87,95,3.22,overcast clouds
329,Marsh Harbour,BS,26.5412,-77.0636,81.66,71,16,14.76,few clouds
330,Ushtobe,KZ,45.2514,77.9838,63.37,28,50,6.62,scattered clouds
331,Esmeraldas,BR,-19.7625,-44.3139,67.06,56,0,10.09,clear sky
332,Gebze,TR,40.8028,29.4307,72.05,100,40,9.22,scattered clouds
333,Contai,IN,21.7786,87.7536,83.68,79,99,11.5,overcast clouds
334,Husavik,IS,66.0449,-17.3389,47.46,94,98,3.94,overcast clouds
335,Bar Harbor,US,44.3876,-68.2039,78.94,70,0,13.8,clear sky
336,Stykkisholmur,IS,65.0757,-22.7297,49.17,91,88,7.34,overcast clouds
337,Riyadh,SA,24.6877,46.7219,93.34,11,72,9.98,broken clouds
338,Itamaraca,BR,-7.7478,-34.8256,80.65,88,6,8.48,clear sky
339,Geraldton,AU,-28.7667,114.6,46.81,71,0,5.75,clear sky
340,Baie-Comeau,CA,49.2168,-68.1489,58.68,94,100,3.44,overcast clouds
341,Sainte-Suzanne,RE,-20.9061,55.6089,70.02,59,75,11.5,broken clouds
342,Huancavelica,PE,-12.7667,-74.9833,45.9,37,1,7.56,clear sky
