City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Ivangorod,RU,2022-06-28 17:41:24,59.3716,28.2162,70.84,79,90,8.28
277,Aykhal,RU,2022-06-28 17:41:24,66.0,111.5,46.42,53,61,8.48
278,Plyussa,RU,2022-06-28 17:41:26,58.4308,29.3654,69.46,86,57,5.55
279,Haines Junction,CA,2022-06-28 17:41:26,60.7522,-137.5108,76.32,37,42,1.99
280,Kamina,CD,2022-06-28 17:41:27,-8.7386,24.9906,62.42,49,11,5.73
281,Kimbe,PG,2022-06-28 17:41:27,-5.5502,150.1429,73.71,92,93,4.47
282,Jacarei,BR,2022-06-28 17:41:28,-23.3053,-45.9658,72.32,49,0,4.61
283,Berlevag,NO,2022-06-28 17:41:28,70.8578,29.0864,80.4,49,5,9.22
284,Port Elizabeth,ZA,2022-06-28 17:41:29,-33.918,25.5701,62.89,57,0,4.61
285,Severo-Kurilsk,RU,2022-06-28 17:41:29,50.6789,156.125,46.11,94,100,14.23
286,Kloulklubed,PW,2022-06-28 17:41:30,7.0419,134.2556,73.9,73,100,12.73
287,Aksarka,RU,2022-06-28 17:41:30,66.5606,67.7975,47.55,52,28,24.11
288,Sitka,US,2022-06-28 17:41:31,57.0531,-135.33,60.69,72,20,8.05
289,Esperance,AU,2022-06-28 17:41:31,-33.8667,121.9,51.64,67,98,10.51
290,Kallupatti,IN,2022-06-28 17:41:32,9.7167,77.8667,84.16,48,80,8.88
291,Zenzeli,RU,2022-06-28 17:41:32,45.9241,47.0474,80.53,26,82,8.93
292,Syracuse,IT,2022-06-28 17:41:29,37.0881,15.2792,92.79,58,5,5.66
